country_name,country,year,gdp_usd,gdp_per_capita_usd,gdp_growth_pct,inflation_rate,remittances_pct_gdp,remittances_received_usd,exchange_rate_lcu_per_usd,internet_users_pct,mobile_subscriptions_per100,remittance_cost_pct_sending_200usd
,Argentina,1960,15865474315,778.2517068,,,,,,,0,
,Ethiopia,1960,1610511694,75.33960907,,,,,2.484470001,,0,
,Nigeria,1960,4196174502,93.13700904,,,,,0.714286,,0,
,Philippines,1960,7515894111,269.4651465,,,,,2.014998488,,0,
,Turkiye,1960,7566666667,267.0912076,,5.664739884,,,9.02E-06,,0,
,Viet Nam,1960,,,,,,,,,0,
,Argentina,1961,20132220375,971.3380433,5.427842876,,,,,,,
,Ethiopia,1961,1680859514,76.73019664,,,,,2.484470001,,,
,Nigeria,1961,4467287893,97.13752811,0.19179549,,,,0.714286,,,
,Philippines,1961,8171194425,283.7947412,5.69547095,,,,2.019997984,,,
,Turkiye,1961,7988888889,274.3508909,1.156069385,3.172856997,,,9.02E-06,,,
,Viet Nam,1961,,,,,,,,,,
,Argentina,1962,18337691145,870.2174909,-0.852021522,,,,,,,
,Ethiopia,1962,1747566307,77.79018498,4.326091336,,,,2.484470001,,,
,Nigeria,1962,4909399176,104.5324955,4.102992589,,,,0.714286,,,
,Philippines,1962,4954593072,166.6892214,4.846294189,,,,3.727851578,,,
,Turkiye,1962,8922222222,298.2410209,5.571428582,3.888320251,,,9.02E-06,,,
,Viet Nam,1962,,,,,,,,,,
,Argentina,1963,18272123664,852.9724251,-5.308196825,,,,1.39E-11,,,
,Ethiopia,1963,1825058828,79.17263437,4.518633926,,,,2.484470001,,,
,Nigeria,1963,5165590254,107.6757414,8.578618915,,,,0.714286,,,
,Philippines,1963,5505023238,179.464434,7.016265184,,,,3.910423146,,,
,Turkiye,1963,10355555556,337.0198569,9.066305552,6.362706928,,,9.02E-06,,,
,Viet Nam,1963,,,,,,,,,,
,Argentina,1964,25605249382,1176.200862,10.13029766,,,,1.40E-11,,,
,Ethiopia,1964,1984129186,83.83686483,4.090485611,,,,2.500000002,,,
,Nigeria,1964,5552931319,113.2973457,4.950488666,,,,0.714286,,,
,Philippines,1964,5953756195,188.1537836,3.402494436,,,,3.910007288,,,
,Turkiye,1964,11177777778,354.3655411,5.459056798,1.119637815,,,9.04E-06,,,
,Viet Nam,1964,,,,,,,,,,
,Argentina,1965,28344705967,1281.83338,10.56943334,,,,1.70E-11,,0,
,Ethiopia,1965,2159998591,88.85002941,5.771932016,,,,2.500000002,,0,
,Nigeria,1965,5874537650,117.2872268,4.884976834,,,,0.714286,,0,
,Philippines,1965,6517349772,199.7635754,5.345089329,,,,3.909173347,,0,
,Turkiye,1965,11966666667,369.9670822,2.823529543,4.555533684,,,9.04E-06,,0,
,Viet Nam,1965,,,,,,,,,0,
,Argentina,1966,28630474728,1275.078434,-0.659726171,,,,2.09E-11,,,
,Ethiopia,1966,2324466416,93.15494679,7.256598037,,,,2.500000002,,,
,Nigeria,1966,6366917453,124.3824402,-4.250514184,,,,0.714286,,,
,Philippines,1966,7189017888,213.849586,4.441158534,,,,3.900000003,,,
,Turkiye,1966,14100000000,424.9846101,11.21281504,8.471996215,,,9.04E-06,,,
,Viet Nam,1966,,,,,,,,,,
,Argentina,1967,24256667553,1063.932838,3.191996623,,,,3.33E-11,,,
,Ethiopia,1967,2461762003,96.08647474,4.06158788,,,,2.500000002,,,
,Nigeria,1967,5203237919,99.50149066,-15.74362821,,,,0.714286,,,
,Philippines,1967,7724873935,223.1247663,5.222687589,,,,3.900000003,,,
,Turkiye,1967,15644444444,459.4493691,4.732510244,13.97489295,,,9.04E-06,,,
,Viet Nam,1967,,,,,,,,,,
,Argentina,1968,26436857247,1141.952116,4.822500779,,,,3.50E-11,,,
,Ethiopia,1968,2619948865,99.4743651,4.142187844,,,,2.500000002,,,
,Nigeria,1968,5200997920,97.33720813,-1.248360246,,,,0.714286,,,
,Philippines,1968,8632749269,242.2320676,5.038159397,,,,3.900000003,,,
,Turkiye,1968,17500000000,501.121309,6.77799601,6.046239662,,,9.04E-06,,,
,Viet Nam,1968,,,,,,,,,,
,Argentina,1969,31256284544,1329.561818,9.679526011,,,,3.50E-11,,,
,Ethiopia,1969,2768987372,102.2801777,1.388657408,,,,2.500000002,,,
,Nigeria,1969,6634317346,121.4366633,24.19738395,,,,0.714286,,,
,Philippines,1969,9571800653,261.0908904,4.689473441,,,,3.900000003,,,
,Turkiye,1969,19466666667,543.9474013,4.081145621,4.924193945,,,9.04E-06,,,
,Viet Nam,1969,,,,,,,,,,
,Argentina,1970,31584210366,1322.714542,3.045643319,,,,3.79E-11,,0,
,Ethiopia,1970,3045354455,109.4304663,3.482728741,,,,2.500000002,,0,
,Nigeria,1970,12546094982,224.462936,25.00724193,,,,0.714286,,0,
,Philippines,1970,7559115517,200.9216556,3.692487487,,,,5.904349999,,0,
,Turkiye,1970,17863636364,487.5650867,3.233508973,7.923952083,,,1.13E-05,,0,
,Viet Nam,1970,,,,,,,,,0,
,Argentina,1971,33293199095,1372.507466,5.658131082,,,,4.52E-11,,,
,Ethiopia,1971,3224280835,112.7366743,6.526476164,,,,2.493475001,,,
,Nigeria,1971,9181769912,160.4792558,14.23753156,,,,0.712855833,,,
,Philippines,1971,8375075630,217.4290551,5.389008416,,,,6.431708332,,,
,Turkiye,1971,16166666667,430.8972597,5.566694501,19.01140868,,,1.49E-05,,,
,Viet Nam,1971,,,,,,,,,,
,Argentina,1972,34733000536,1409.370973,1.628416518,,,,5.00E-11,,,
,Ethiopia,1972,3520252938,119.8399971,4.22715959,,,,2.299999999,,,
,Nigeria,1972,12274416018,209.4547763,3.364262035,,,,0.657894999,,,
,Philippines,1972,9067815521,230.0976113,5.430387494,,,,6.674841666,,,
,Turkiye,1972,20650000000,537.3375292,7.425788326,15.41645572,,,1.42E-05,,,
,Viet Nam,1972,,,,,,,,,,
,Argentina,1973,52544000117,2097.89945,2.811754038,,,,5.00E-11,,,
,Ethiopia,1973,4070570550,134.935511,5.109869507,,,,2.098749999,,,
,Nigeria,1973,15162871287,252.3690325,5.392760484,,,,0.657894999,,,
,Philippines,1973,11412449735,283.2285927,8.782009122,,,,6.756283332,,,
,Turkiye,1973,26000000000,661.0808219,3.262334518,13.93816524,,,1.42E-05,,,
,Viet Nam,1973,,,,,,,,,,
,Argentina,1974,72436777342,2844.969905,5.533804396,,,,5.00E-11,,,
,Ethiopia,1974,4577209966,147.8557225,3.273658324,,,,2.069999999,,,
,Nigeria,1974,24846641318,402.8369998,11.16067455,,,,0.630282046,,,
,Philippines,1974,15607882555,379.0681812,3.394606379,,,,6.787874999,,,
,Turkiye,1974,35414285714,880.7281677,5.594474403,23.89816158,4.026623639,1426000000,1.39E-05,,,
,Viet Nam,1974,,,,,,,,,,
,Argentina,1975,52438647922,2026.684358,-0.028412104,,,,3.66E-10,,0,
,Ethiopia,1975,4577047854,144.2805376,1.246131715,,,,2.069999999,,0,
,Nigeria,1975,27778934625,438.0788139,-5.227747555,,,,0.615501553,,0,
,Philippines,1975,16875240684,400.6388831,5.45110287,,,,7.247899999,,0,
,Turkiye,1975,46042857143,1121.543269,7.17411269,21.22735524,2.849519082,1312000000,1.44E-05,,0,
,Viet Nam,1975,,,,,,,,,0,
,Argentina,1976,51169499892,1946.919904,-2.018251517,,,,1.40E-09,,0,
,Ethiopia,1976,4943806093,151.9561866,0.148810316,,,,2.069999999,,0,
,Nigeria,1976,36308883249,556.3896877,9.042351726,,,,0.626601004,,0,
,Philippines,1976,19381055197,448.6200845,8.778403331,,,,7.440258332,,0,
,Turkiye,1976,51450000000,1227.924097,10.46117956,17.45568939,1.908649174,982000000,1.61E-05,,0,
,Viet Nam,1976,,,,,,,,,0,
,Argentina,1977,56781000101,2126.48546,6.934147757,,,,4.08E-09,,0,
,Ethiopia,1977,5651840585,170.4041437,2.725681626,,0.07863712,4444444.656,2.069999999,,0,
,Nigeria,1977,36035407725,535.9653078,6.02411785,,0.055957142,20164384.34,0.644701062,,0,
,Philippines,1977,22283109803,502.2342429,5.562970252,,1.521331641,339000000,7.402824999,,0,
,Turkiye,1977,58683333333,1371.961857,3.406669804,25.98533787,1.673388242,982000000,1.80E-05,,0,
,Viet Nam,1977,,,,,,,,,0,
,Argentina,1978,89049453088,3282.063044,-4.506124802,,0.02919726,26000000,7.96E-09,,0,
,Ethiopia,1978,6014961435,178.3024806,2.740006332,,0.118866237,7149758.339,2.069999999,,0,
,Nigeria,1978,36527862209,526.8958529,-5.764158394,,0.008618785,3148257.783,0.635271994,,0,
